outcome,sample,timing,control_group,event_time,estimate,se,ci_low,ci_high
log1p_n_stem,combined_us_europe,standard_decade,notyettreated,-70,-0.6979672991119567,0.11991974943953537,-0.933010008013446,-0.46292459021046733
log1p_n_stem,combined_us_europe,standard_decade,notyettreated,-60,-0.46891237980304223,0.09655844546796621,-0.658166932920256,-0.27965782668582845
log1p_n_stem,combined_us_europe,standard_decade,notyettreated,-50,-0.4961532880993042,0.10024426614480288,-0.6926320497431179,-0.29967452645549053
log1p_n_stem,combined_us_europe,standard_decade,notyettreated,-40,-0.23988254032391962,0.0812982843312602,-0.3992271776131896,-0.08053790303464964
log1p_n_stem,combined_us_europe,standard_decade,notyettreated,-30,-0.10304208433576235,0.08714918684009954,-0.27385449054235744,0.06777032187083272
log1p_n_stem,combined_us_europe,standard_decade,notyettreated,-20,-0.03602176062828003,0.07549472967593793,-0.18399143079311836,0.11194790953655831
log1p_n_stem,combined_us_europe,standard_decade,notyettreated,-10,0,NA,NA,NA
log1p_n_stem,combined_us_europe,standard_decade,notyettreated,0,0.1046098595019791,0.07052927159955821,-0.03362751283315499,0.24284723183711318
log1p_n_stem,combined_us_europe,standard_decade,notyettreated,10,0.21584866296841132,0.07900920868026438,0.06099061395509314,0.3707067119817295
log1p_n_stem,combined_us_europe,standard_decade,notyettreated,20,0.18684815904861926,0.08620169578972015,0.017892835300767768,0.3558034827964708
log1p_n_stem,combined_us_europe,standard_decade,notyettreated,30,0.41228629301192876,0.09251209008777268,0.2309625964398943,0.5936099895839633
log1p_n_stem,combined_us_europe,standard_decade,notyettreated,40,0.41773574638262456,0.09302221779024214,0.23541219951374998,0.6000592932514992
log1p_n_stem,combined_us_europe,standard_decade,notyettreated,50,0.47040929759833683,0.1003294710984274,0.2737635342454191,0.6670550609512546
log1p_n_stem,combined_us_europe,standard_decade,notyettreated,60,0.4795229925732892,0.09557034111023166,0.2922051239972351,0.6668408611493433
log1p_n_stem,combined_us_europe,standard_decade,notyettreated,70,0.2251748343956064,0.12668022488999361,-0.02311840638878107,0.4734680751799939
inventors_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,-70,-0.0114026046838328,2.0379064876951443,-4.005699320566316,3.9828941111986498
inventors_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,-60,0.8132177371074352,1.7756552958487886,-2.6670666427561907,4.2935021169710605
inventors_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,-50,0.5382759391499216,1.2814122799420284,-1.9732921295364543,3.049844007836297
inventors_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,-40,0.37600669522051716,1.248624768761215,-2.0712978515514644,2.8233112419924984
inventors_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,-30,2.8973196378261163,1.5405641389239142,-0.12218607446475538,5.916825350116988
inventors_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,-20,1.1373066601796191,1.3687471568346323,-1.54543776721626,3.8200510875754983
inventors_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,-10,0,NA,NA,NA
inventors_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,0,0.1473769611785929,0.5583363874209342,-0.9469623581664381,1.241716280523624
inventors_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,10,-1.7067476514366586,1.0322988604231156,-3.730053417865965,0.31655811499264774
inventors_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,20,-2.9052571260749613,1.276798739645243,-5.407782655779638,-0.4027315963702853
inventors_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,30,-3.069199049434919,1.4684702630318545,-5.947400764977354,-0.1909973338924842
inventors_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,40,-3.283322239902611,1.726776602667834,-6.667804381131566,0.10115990132634334
inventors_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,50,-3.255810382645019,1.6601410275656674,-6.509686796673727,-0.0019339686163108993
inventors_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,60,-3.878573446382198,1.7717704178401064,-7.351243465348807,-0.40590342741558993
inventors_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,70,-4.298384389951964,1.792245884477908,-7.811186323528663,-0.785582456375264
stem_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,-70,0.22965239287351652,0.8368789053201404,-1.4106302615539585,1.8699350473009917
stem_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,-60,0.7809589411366995,0.6784801234181611,-0.5488621007628962,2.110779983036295
stem_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,-50,0.14710193179503933,0.5252913561601705,-0.8824691262788948,1.1766729898689734
stem_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,-40,0.7700969412660187,0.5288542726506039,-0.26645743312916503,1.8066513156612025
stem_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,-30,1.497308567635298,0.7669583911606239,-0.005929879039524799,3.0005470143101207
stem_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,-20,0.501328962429982,0.6349327881148951,-0.7431393022752123,1.7457972271351765
stem_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,-10,0,NA,NA,NA
stem_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,0,0.680049815410134,0.5037730548216164,-0.30734537204023415,1.6674450028605021
stem_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,10,-0.27265812254470173,0.4285004037533995,-1.1125189139013647,0.5672026688119614
stem_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,20,-0.6984513843627089,0.4507655719567611,-1.5819519053979607,0.18504913667254275
stem_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,30,-0.835990916439674,0.47792672819500104,-1.772727303701876,0.10074547082252794
stem_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,40,-0.9992466444337528,0.5301974426281567,-2.03843363198494,0.03994034311743444
stem_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,50,-1.105730126957557,0.5535013780766106,-2.1905928279877136,-0.020867425927400207
stem_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,60,-1.3931351033418178,0.5413622827789988,-2.4542051775886553,-0.33206502909498026
stem_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,70,-1.5474284098415458,0.6601342990440724,-2.8412916359679277,-0.253565183715164
n_inventors,combined_us_europe,alternative_decade,notyettreated,-70,-11.824945828235201,5.463270497911704,-22.532956004142143,-1.1169356523282605
n_inventors,combined_us_europe,alternative_decade,notyettreated,-60,-9.661305978742272,4.577105347571915,-18.632432459983225,-0.6901794975013189
n_inventors,combined_us_europe,alternative_decade,notyettreated,-50,-8.814923290291986,3.813024242844549,-16.288450806267303,-1.3413957743166707
n_inventors,combined_us_europe,alternative_decade,notyettreated,-40,-6.59580611008747,3.507813933377762,-13.471121419507885,0.27950919933294305
n_inventors,combined_us_europe,alternative_decade,notyettreated,-30,-4.570494843007955,3.1620625586826563,-10.768137458025961,1.6271477720100513
n_inventors,combined_us_europe,alternative_decade,notyettreated,-20,-2.4532100433108597,2.0905074697823602,-6.550604684084286,1.6441845974625662
n_inventors,combined_us_europe,alternative_decade,notyettreated,-10,0,NA,NA,NA
n_inventors,combined_us_europe,alternative_decade,notyettreated,0,3.7197707288999213,1.4792910756617283,0.8203602206029337,6.6191812371969085
n_inventors,combined_us_europe,alternative_decade,notyettreated,10,5.516454055932679,1.6325327924305475,2.3166897827688064,8.716218329096552
n_inventors,combined_us_europe,alternative_decade,notyettreated,20,8.24436414894081,2.421152409049799,3.498905427203205,12.989822870678417
n_inventors,combined_us_europe,alternative_decade,notyettreated,30,13.135256921381153,3.4346617761962297,6.403319840036542,19.867194002725764
n_inventors,combined_us_europe,alternative_decade,notyettreated,40,18.747055726969627,4.790794890481321,9.357097741626239,28.137013712313014
n_inventors,combined_us_europe,alternative_decade,notyettreated,50,24.416016589849843,6.337640666167281,11.994240884161972,36.83779229553771
n_inventors,combined_us_europe,alternative_decade,notyettreated,60,20.304541101448834,3.8627592301383595,12.733533010377649,27.87554919252002
n_inventors,combined_us_europe,alternative_decade,notyettreated,70,15.5662787490313,5.377847203778155,5.025698229626116,26.106859268436484
log1p_n_inventors,combined_us_europe,alternative_decade,notyettreated,-70,-0.7894340042000515,0.12671186619073574,-1.0377892619338935,-0.5410787464662095
log1p_n_inventors,combined_us_europe,alternative_decade,notyettreated,-60,-0.5676145009748086,0.11272852248076766,-0.7885624050371132,-0.346666596912504
log1p_n_inventors,combined_us_europe,alternative_decade,notyettreated,-50,-0.43226352979313826,0.08255977802827406,-0.5940806947285554,-0.2704463648577211
log1p_n_inventors,combined_us_europe,alternative_decade,notyettreated,-40,-0.35053251503076055,0.0772498680747253,-0.5019422564572221,-0.19912277360429897
log1p_n_inventors,combined_us_europe,alternative_decade,notyettreated,-30,-0.11447700558823516,0.07935673330536243,-0.2700162028667455,0.04106219169027518
log1p_n_inventors,combined_us_europe,alternative_decade,notyettreated,-20,-0.015289663479607609,0.06909233469462142,-0.15071063948106558,0.12013131252185036
log1p_n_inventors,combined_us_europe,alternative_decade,notyettreated,-10,0,NA,NA,NA
log1p_n_inventors,combined_us_europe,alternative_decade,notyettreated,0,0.16198776724743075,0.07009663128318973,0.024598369932378877,0.29937716456248264
log1p_n_inventors,combined_us_europe,alternative_decade,notyettreated,10,0.23114986273541774,0.05703020500543587,0.11937066092476344,0.342929064546072
log1p_n_inventors,combined_us_europe,alternative_decade,notyettreated,20,0.27678272405490906,0.0788077902693402,0.12231945512700226,0.43124599298281585
log1p_n_inventors,combined_us_europe,alternative_decade,notyettreated,30,0.4381511426727729,0.08553992743382675,0.2704928849024725,0.6058094004430733
log1p_n_inventors,combined_us_europe,alternative_decade,notyettreated,40,0.5040614052184602,0.09439450964930436,0.31904816630582367,0.6890746441310968
log1p_n_inventors,combined_us_europe,alternative_decade,notyettreated,50,0.6333688674294161,0.08558476925891421,0.46562271968194424,0.801115015176888
log1p_n_inventors,combined_us_europe,alternative_decade,notyettreated,60,0.5503050894126893,0.11730741955059076,0.3203825470935314,0.7802276317318472
log1p_n_inventors,combined_us_europe,alternative_decade,notyettreated,70,0.3476172359220498,0.13409948145316453,0.08478225227384734,0.6104522195702522
n_stem,combined_us_europe,alternative_decade,notyettreated,-70,-4.802097042326121,1.8181479749276985,-8.36566707318441,-1.238527011467832
