sample,design,spec,outcome,lead_m60,se_m60,lead_m40,se_m40,lead_m20,se_m20
All controls,County of school,Any exposure,STEM share zero-filled (pp),-8.044167776516545,5.822667255687698,-4.937014766435165,5.205139671120802,2.785499301799926,5.1127958428789535
All controls,County of school,High-access first exposure,Any STEM birth (pp),-19.447885082068886,19.915901279402135,-22.265349907802722,17.922486695014452,0.7498064281133827,0.8815379090688452
All controls,County of school,High-access first exposure,STEM births (count),-11.41268220463298,8.537079325478697,-5.578904495198949,6.2425831329627135,-2.820916851661691,3.2260599307699818
All controls,County of school,High-access first exposure,STEM share smoothed (pp),-18.262435334109693,17.192209369955222,-21.129646213336787,10.57937225271516,-1.481566976910111,8.803014707320697
All controls,County of school,High-access first exposure,STEM share zero-filled (pp),-12.488857371830361,20.213633708963712,-19.299154989221332,14.815034473577695,1.6237224479442474,6.547392014493198
All controls,County of school,Low-access first exposure,Any STEM birth (pp),-17.05892619009277,8.231833161221285,-6.66309057421155,7.308135703992043,-0.5383423204690251,7.0080636107633865
All controls,County of school,Low-access first exposure,STEM births (count),-0.842246901042973,0.3077305500177857,-0.533886375801585,0.2563806767899118,0.048599589662287085,0.17110391080116588
All controls,County of school,Low-access first exposure,STEM share smoothed (pp),-10.418220648485129,4.682364410663727,-4.198994108622055,4.064867272027951,2.966734017752507,4.279051068325678
All controls,County of school,Low-access first exposure,STEM share zero-filled (pp),-7.713115318198194,6.379225806748042,-3.0282035629175645,5.701971589158137,3.0058735278648543,5.561005529775208
Not-yet-only controls,25 km radius,Any exposure,Any STEM birth (pp),3.5011037543082453,4.318221141900112,-0.9606141486946526,4.124517193413709,-1.166743698167131,3.6006834021712066
Not-yet-only controls,25 km radius,Any exposure,STEM births (count),-0.3748057614572215,0.2599634142128929,-0.20018965839917538,0.12176380698425736,0.010478284809824772,0.09001094388978101
Not-yet-only controls,25 km radius,Any exposure,STEM share smoothed (pp),1.787818570622625,2.518472295935584,-0.28991130995449643,2.6770120114240172,1.535494057899249,2.106009390957658
Not-yet-only controls,25 km radius,Any exposure,STEM share zero-filled (pp),3.557495544367003,3.35460384299815,-0.08567186069420309,3.141179940761819,1.58957843244853,2.9055242533772145
Not-yet-only controls,25 km radius,High-access first exposure,Any STEM birth (pp),NA,NA,-8.000000000000002,5.4559761641006155,17.397563676633442,14.366654212915096
Not-yet-only controls,25 km radius,High-access first exposure,STEM births (count),NA,NA,0.10400000000000001,0.21634131572433737,0.15581395348837207,0.3032425359663836
Not-yet-only controls,25 km radius,High-access first exposure,STEM share smoothed (pp),7.291666666666666,3.3461508403772258,-3.049999999999998,4.315196123750472,12.810858545908381,12.510170035973662
Not-yet-only controls,25 km radius,High-access first exposure,STEM share zero-filled (pp),NA,NA,-5.333333333333334,5.614120400741213,19.087418509443136,14.487234080322414
Not-yet-only controls,25 km radius,Low-access first exposure,Any STEM birth (pp),3.866517736570065,4.5750223691182565,0.2253840695740349,4.827346647732559,-3.6401987851846322,3.9515360805163993
Not-yet-only controls,25 km radius,Low-access first exposure,STEM births (count),-0.35103952023533586,0.2554293880536046,-0.2323819278355583,0.1552293118777821,0.018301872666968397,0.11383320409400652
Not-yet-only controls,25 km radius,Low-access first exposure,STEM share smoothed (pp),2.000836954112094,2.636990867047204,0.4171169463888291,2.900254918634512,0.27796979486283485,2.2661851544949423
Not-yet-only controls,25 km radius,Low-access first exposure,STEM share zero-filled (pp),3.544020802914066,3.1481423264550354,0.5071663802806552,3.649662912976298,-1.0030813757813515,3.265897211093148
Not-yet-only controls,County of school,Any exposure,Any STEM birth (pp),6.733334279845907,8.976193142979833,7.072901782272108,7.865607600297172,4.571195750220669,8.121881835520897
Not-yet-only controls,County of school,Any exposure,STEM births (count),-0.0993826844989638,0.39892417481925596,-0.452305395532067,0.5258773617711172,-0.06144149184522563,0.4071358419641571
