county_geoid,n_nearby_schools,first_exposure_year,first_exposure_schools,first_exposure_access,g_any
44001,1,1896,St. George's School,low,1890
44003,2,1889,Wheeler School,low,1880
44005,1,1896,St. George's School,low,1890
44007,1,1889,Wheeler School,low,1880
44009,1,1896,St. George's School,low,1890
45015,1,1867,Porter-Gaud School,low,1860
45019,1,1867,Porter-Gaud School,low,1860
45035,1,1867,Porter-Gaud School,low,1860
47003,1,1870,The Webb School,low,1860
47011,1,1893,Baylor School,low,1880
47021,1,1867,Montgomery Bell Academy,low,1860
47031,1,1870,The Webb School,low,1860
47037,1,1867,Montgomery Bell Academy,low,1860
47065,1,1893,Baylor School,low,1880
47103,1,1870,The Webb School,low,1860
47115,1,1893,Baylor School,low,1880
47117,1,1870,The Webb School,low,1860
47127,1,1870,The Webb School,low,1860
47149,1,1870,The Webb School,low,1860
47153,1,1893,Baylor School,low,1880
47165,1,1867,Montgomery Bell Academy,low,1860
47187,1,1867,Montgomery Bell Academy,low,1860
47189,1,1867,Montgomery Bell Academy,low,1860
48029,1,1893,TMI Episcopal,low,1880
48113,1,1913,The Hockaday School,low,1900
48201,1,1906,The Kinkaid School,low,1900
48339,1,1906,The Kinkaid School,low,1900
49011,1,1867,Rowland Hall,low,1860
49035,1,1867,Rowland Hall,low,1860
50003,1,1829,Burr and Burton Academy,high,1820
50005,1,1842,St. Johnsbury Academy,high,1830
50009,1,1842,St. Johnsbury Academy,high,1830
50019,1,1842,St. Johnsbury Academy,high,1830
50023,1,1842,St. Johnsbury Academy,high,1830
50025,1,1829,Burr and Burton Academy,high,1820
51013,2,1839,Episcopal High School,low,1830
51041,1,1911,St. Christopher's School,low,1900
51047,1,1889,Woodberry Forest School,low,1880
51059,2,1839,Episcopal High School,low,1830
51075,1,1911,St. Christopher's School,low,1900
51079,1,1889,Woodberry Forest School,low,1880
51085,1,1911,St. Christopher's School,low,1900
51087,1,1911,St. Christopher's School,low,1900
51107,1,1906,The Madeira School,low,1900
51113,1,1889,Woodberry Forest School,low,1880
51137,1,1889,Woodberry Forest School,low,1880
51139,1,1889,Woodberry Forest School,low,1880
51145,1,1911,St. Christopher's School,low,1900
51153,1,1906,The Madeira School,low,1900
51157,1,1889,Woodberry Forest School,low,1880
51165,1,1889,Woodberry Forest School,low,1880
51510,2,1839,Episcopal High School,low,1830
51600,2,1839,Episcopal High School,low,1830
51610,2,1839,Episcopal High School,low,1830
51683,1,1906,The Madeira School,low,1900
51685,1,1906,The Madeira School,low,1900
51760,1,1911,St. Christopher's School,low,1900
53011,2,1869,Oregon Episcopal School,low,1860
53033,2,1884,Annie Wright Schools,low,1870
53053,1,1884,Annie Wright Schools,low,1870
53059,2,1869,Oregon Episcopal School,low,1860
54009,1,1814,Linsly School,low,1800
54051,1,1814,Linsly School,low,1800
54069,1,1814,Linsly School,low,1800
55027,1,1855,Wayland Academy,low,1850
55079,2,1851,University School of Milwaukee,low,1840
55101,2,1851,University School of Milwaukee,low,1840
55133,2,1851,University School of Milwaukee,low,1840
