design,spec,outcome,event_time,att,se,conf_low,conf_high
County of school,High-access first exposure,STEM share smoothed (pp),20,12.03195870266794,8.341017365387266,-4.316435333491103,28.380352738826982
County of school,High-access first exposure,STEM share smoothed (pp),30,9.10267473758226,7.381503013626924,-5.3650711691265105,23.570420644291033
County of school,High-access first exposure,STEM share smoothed (pp),40,4.197532010735939,9.190542443438895,-13.815931178404297,22.210995199876173
County of school,High-access first exposure,STEM share smoothed (pp),50,7.390831762175734,10.845959308700138,-13.867248482876537,28.648912007228002
County of school,High-access first exposure,STEM share smoothed (pp),60,-5.092236316999328,9.390242695407373,-23.497111999997777,13.312639365999123
County of school,High-access first exposure,STEM births (count),-60,-11.41268220463298,10.931806569744325,-32.83902308133186,10.013658672065898
County of school,High-access first exposure,STEM births (count),-50,-4.572143654643615,4.886259876062355,-14.14921301172583,5.004925702438601
County of school,High-access first exposure,STEM births (count),-40,-5.578904495198949,6.2302046581394865,-17.790105625152343,6.632296634754444
County of school,High-access first exposure,STEM births (count),-30,-4.239653702734894,4.972783416072305,-13.986309198236611,5.5070017927668244
County of school,High-access first exposure,STEM births (count),-20,-2.820916851661691,3.2525553385899557,-9.195925315298004,3.5540916119746218
County of school,High-access first exposure,STEM births (count),0,5.728955587933556,6.828922135012402,-7.655731796690751,19.113642972557862
County of school,High-access first exposure,STEM births (count),10,15.541211088102557,20.553768881912664,-24.74417592044626,55.826598096651374
County of school,High-access first exposure,STEM births (count),20,12.859132356255026,15.205436711367275,-16.943523598024832,42.66178831053489
County of school,High-access first exposure,STEM births (count),30,16.598850600365903,20.310731938131447,-23.21018399837173,56.40788519910353
County of school,High-access first exposure,STEM births (count),40,4.846274518765106,5.559042749832774,-6.0494492709071315,15.741998308437342
County of school,High-access first exposure,STEM births (count),50,-0.5771607929625492,3.1290329094997102,-6.710065295581981,5.555743709656883
County of school,High-access first exposure,STEM births (count),60,-2.500940632775872,5.709368416317075,-13.69130272875734,8.689421463205594
County of school,High-access first exposure,Any STEM birth (pp),-60,-19.447885082068886,27.914414393617974,-74.16013729356011,35.26436712942234
County of school,High-access first exposure,Any STEM birth (pp),-50,-21.670539577088093,18.029375604168166,-57.0081157612577,13.667036607081513
County of school,High-access first exposure,Any STEM birth (pp),-40,-22.265349907802722,18.14868678197736,-57.83677600047835,13.306076184872907
County of school,High-access first exposure,Any STEM birth (pp),-30,-25.299063581309525,15.122419415534583,-54.93900563575731,4.3408784731382575
County of school,High-access first exposure,Any STEM birth (pp),-20,0.7498064281133827,12.55187304213536,-23.85186473447192,25.35147759069869
County of school,High-access first exposure,Any STEM birth (pp),0,-0.9773281202211886,12.504068249095795,-25.485301888448944,23.53064564800657
County of school,High-access first exposure,Any STEM birth (pp),10,6.242654675845689,13.05814236094776,-19.351304351611923,31.8366137033033
County of school,High-access first exposure,Any STEM birth (pp),20,21.82490796750437,12.382362538473032,-2.4445226079027726,46.094338542911515
County of school,High-access first exposure,Any STEM birth (pp),30,29.657675435996147,15.493508690507541,-0.7096015973986347,60.024952469390925
County of school,High-access first exposure,Any STEM birth (pp),40,12.825623140868874,16.15261183650168,-18.83349605867442,44.48474234041217
County of school,High-access first exposure,Any STEM birth (pp),50,20.43854362866606,12.285896193279406,-3.641812910161576,44.5189001674937
County of school,High-access first exposure,Any STEM birth (pp),60,3.691930923060011,12.612231072071127,-21.0280419781994,28.41190382431942
County of school,Low-access first exposure,STEM share zero-filled (pp),-60,-7.713115318198194,6.384466505944021,-20.226669669848473,4.8004390334520854
