design,outcome,estimator,event_time,att,se,conf_low,conf_high
County of school,STEM births (count),BJS imputation,30,6.422154122755646,2.5801171730213848,1.3651244636337312,11.479183781877559
County of school,STEM births (count),BJS imputation,40,4.9065369328695825,1.298121240023831,2.362219302422874,7.450854563316291
County of school,STEM births (count),BJS imputation,50,4.084719322054203,1.016572064254156,2.0922380761160566,6.077200567992349
County of school,STEM births (count),BJS imputation,60,3.0159763989415764,0.9125693850441589,1.227340404255025,4.804612393628128
County of school,STEM births (count),Wooldridge ETWFE,-60,0.743762342230131,0.2703473228301177,0.21388158948310032,1.2736430949771618
County of school,STEM births (count),Wooldridge ETWFE,-50,1.0061990212085747,0.2533234544008719,0.5096850505828658,1.5027129918342836
County of school,STEM births (count),Wooldridge ETWFE,-40,0.8453795221197433,0.24772612724939214,0.35983631271093475,1.330922731528552
County of school,STEM births (count),Wooldridge ETWFE,-30,1.0347940736118708,0.23918258834295877,0.5659962004596717,1.50359194676407
County of school,STEM births (count),Wooldridge ETWFE,-20,1.4834714518776313,0.2360062001790954,1.0208992995266044,1.9460436042286582
County of school,STEM births (count),Wooldridge ETWFE,-10,1.8951038607956199,0.23600650334537168,1.4325311142386914,2.3576766073525484
County of school,STEM births (count),Wooldridge ETWFE,0,3.370375203917469,0.23600643786114578,2.9078025857096232,3.8329478221253144
County of school,STEM births (count),Wooldridge ETWFE,10,5.751460576404376,0.23600640596021416,5.288888020722355,6.214033132086396
County of school,STEM births (count),Wooldridge ETWFE,20,5.514549211531803,0.23600644973904464,5.0519765700432755,5.977121853020331
County of school,STEM births (count),Wooldridge ETWFE,30,7.31155193040202,0.23600622036674315,6.848979738483203,7.774124122320837
County of school,STEM births (count),Wooldridge ETWFE,40,5.795393148454635,0.23600633256683715,5.332820736623634,6.257965560285636
County of school,STEM births (count),Wooldridge ETWFE,50,4.973028820014823,0.2360063244342735,4.510456424123648,5.435601215905999
County of school,STEM births (count),Wooldridge ETWFE,60,3.903138662320051,0.2360063632529383,3.440566190344292,4.36571113429581
County of school,Any STEM birth (pp),Callaway-Sant'Anna DR,-60,-17.221764463781984,8.007038334438514,-32.91555959928147,-1.5279693282824969
County of school,Any STEM birth (pp),Callaway-Sant'Anna DR,-50,-15.699481669998654,7.257674894187606,-29.924524462606364,-1.4744388773909467
County of school,Any STEM birth (pp),Callaway-Sant'Anna DR,-40,-8.488930050886893,6.243359341210945,-20.725914359660344,3.748054257886558
County of school,Any STEM birth (pp),Callaway-Sant'Anna DR,-30,-8.749413304951835,6.090946321332506,-20.687668094763545,3.1888414848598767
County of school,Any STEM birth (pp),Callaway-Sant'Anna DR,-20,-0.3327087447749982,5.951789750825838,-11.99821665639364,11.332799166843644
County of school,Any STEM birth (pp),Callaway-Sant'Anna DR,0,13.519898717512838,5.6369994284041,2.471379837840802,24.568417597184876
County of school,Any STEM birth (pp),Callaway-Sant'Anna DR,10,7.250554782027659,6.536256689744299,-5.560508329871166,20.061617893926485
County of school,Any STEM birth (pp),Callaway-Sant'Anna DR,20,16.78847755153425,6.157181124122643,4.720402548253869,28.85655255481463
County of school,Any STEM birth (pp),Callaway-Sant'Anna DR,30,22.931724204218476,6.962706623375288,9.284819222402911,36.57862918603404
County of school,Any STEM birth (pp),Callaway-Sant'Anna DR,40,21.50002002666466,6.368797067302554,9.017177774751657,33.98286227857766
County of school,Any STEM birth (pp),Callaway-Sant'Anna DR,50,32.62395877779918,5.922476845270319,21.015904161069358,44.232013394529005
County of school,Any STEM birth (pp),Callaway-Sant'Anna DR,60,16.018781946082346,7.008437739055298,2.2822439775339625,29.75531991463073
County of school,Any STEM birth (pp),BJS imputation,-60,8.112712990366674,3.8888882947200027,0.49049193271546887,15.73493404801788
County of school,Any STEM birth (pp),BJS imputation,-50,10.850209866336257,4.437491538702269,2.1527264504798094,19.547693282192704
County of school,Any STEM birth (pp),BJS imputation,-40,17.067429247411038,5.4748810332607025,6.336662422220062,27.798196072602014
County of school,Any STEM birth (pp),BJS imputation,-30,17.071305344462058,5.425657460259512,6.437016722353416,27.7055939665707
County of school,Any STEM birth (pp),BJS imputation,-20,24.810174135270746,5.713696954849943,13.611328103764858,36.00902016677664
County of school,Any STEM birth (pp),BJS imputation,-10,25.178776214108247,6.625845752291765,12.192118539616388,38.165433888600106
County of school,Any STEM birth (pp),BJS imputation,0,24.234565653191353,4.645484138629418,15.129416741477694,33.33971456490501
County of school,Any STEM birth (pp),BJS imputation,10,17.98680368784555,5.491013729041793,7.224416778923638,28.749190596767463
County of school,Any STEM birth (pp),BJS imputation,20,27.52803113692993,5.221213982612963,17.29445173100852,37.761610542851336
County of school,Any STEM birth (pp),BJS imputation,30,33.67918941828972,5.482609762202012,22.933274284373773,44.42510455220566
County of school,Any STEM birth (pp),BJS imputation,40,32.242558912357694,4.9972755851141235,22.447898765534013,42.037219059181375
County of school,Any STEM birth (pp),BJS imputation,50,43.35921790719265,4.657691879758016,34.23014182286694,52.48829399151836
County of school,Any STEM birth (pp),BJS imputation,60,26.744376574101704,6.009668156601279,14.965426987163196,38.52332616104021
County of school,Any STEM birth (pp),Wooldridge ETWFE,-60,21.424114936716226,4.169827395395617,13.251253241740816,29.596976631691636
County of school,Any STEM birth (pp),Wooldridge ETWFE,-50,20.8086334548691,3.9072487476347475,13.150425909504994,28.466841000233202
County of school,Any STEM birth (pp),Wooldridge ETWFE,-40,26.284425679133882,3.820921222693193,18.795420082655223,33.77343127561254
County of school,Any STEM birth (pp),Wooldridge ETWFE,-30,26.279916869852592,3.6891434533774836,19.049195701232726,33.51063803847246
County of school,Any STEM birth (pp),Wooldridge ETWFE,-20,33.72963567176149,3.640153345716991,26.59493511415619,40.86433622936679
County of school,Any STEM birth (pp),Wooldridge ETWFE,-10,34.08330614484593,3.6401533078496806,26.948605661460554,41.2180066282313
County of school,Any STEM birth (pp),Wooldridge ETWFE,0,47.668080478730424,3.640154210204049,40.53337822673049,54.80278273073036
County of school,Any STEM birth (pp),Wooldridge ETWFE,10,41.41598694963437,3.6401528972843136,34.28128727095712,48.550686628311624
County of school,Any STEM birth (pp),Wooldridge ETWFE,20,50.95334420901792,3.6401535389214246,43.818643272731926,58.088045145303916
County of school,Any STEM birth (pp),Wooldridge ETWFE,30,57.10277324654623,3.6401535860084633,49.96807221796964,64.23747427512282
County of school,Any STEM birth (pp),Wooldridge ETWFE,40,55.64502447003388,3.6401536465824047,48.51032332273237,62.779725617335394
County of school,Any STEM birth (pp),Wooldridge ETWFE,50,66.75889070168991,3.6401531347467224,59.62419055758633,73.89359084579348
County of school,Any STEM birth (pp),Wooldridge ETWFE,60,50.13507340967252,3.640153272452705,43.00037299566522,57.26977382367983
County of school,STEM share zero-filled (pp),Callaway-Sant'Anna DR,-60,-8.044167776516545,6.071241473220504,-19.943801064028733,3.855465510995643
County of school,STEM share zero-filled (pp),Callaway-Sant'Anna DR,-50,-6.106565747220337,5.560113427774211,-17.004388065657793,4.791256571217117
County of school,STEM share zero-filled (pp),Callaway-Sant'Anna DR,-40,-4.937014766435165,5.058935190119523,-14.85252773906943,4.9784982061991
County of school,STEM share zero-filled (pp),Callaway-Sant'Anna DR,-30,-1.1699641079191287,5.08706562266635,-11.140612728345175,8.800684512506919
County of school,STEM share zero-filled (pp),Callaway-Sant'Anna DR,-20,2.785499301799926,5.031247132673742,-7.075745078240607,12.646743681840459
County of school,STEM share zero-filled (pp),Callaway-Sant'Anna DR,0,14.01710337151948,5.421273850569075,3.3914066244040946,24.642800118634867
County of school,STEM share zero-filled (pp),Callaway-Sant'Anna DR,10,2.4718651867805934,5.552686676689962,-8.411400699531733,13.35513107309292
County of school,STEM share zero-filled (pp),Callaway-Sant'Anna DR,20,12.067825976380968,5.232240348671027,1.8126348929857556,22.32301705977618
County of school,STEM share zero-filled (pp),Callaway-Sant'Anna DR,30,10.799065144147884,5.577422070586391,-0.13268211420144382,21.73081240249721
County of school,STEM share zero-filled (pp),Callaway-Sant'Anna DR,40,10.79000321084069,5.197861256148737,0.6021951487891641,20.977811272892215
County of school,STEM share zero-filled (pp),Callaway-Sant'Anna DR,50,18.542122379780235,5.205463708951912,8.339413510234486,28.744831249325983
County of school,STEM share zero-filled (pp),Callaway-Sant'Anna DR,60,3.575183659614952,4.6002553670197,-5.44131685974366,12.591684178973564
County of school,STEM share zero-filled (pp),BJS imputation,-60,4.060811390369983,3.3086867284734947,-2.424214597438067,10.545837378178032
County of school,STEM share zero-filled (pp),BJS imputation,-50,8.073590438118192,3.5231954287550455,1.1681273977583029,14.97905347847808
County of school,STEM share zero-filled (pp),BJS imputation,-40,8.402523300605237,3.9401710309806384,0.6797880798831857,16.12525852132729
County of school,STEM share zero-filled (pp),BJS imputation,-30,12.226786802457513,4.396867028723505,3.6089274261594433,20.844646178755582
County of school,STEM share zero-filled (pp),BJS imputation,-20,15.542704814116174,4.4721308378027445,6.7773283720227955,24.308081256209555
County of school,STEM share zero-filled (pp),BJS imputation,-10,12.778331733832491,4.94412925232415,3.0878383992771568,22.468825068387826
County of school,STEM share zero-filled (pp),BJS imputation,0,18.213617536987638,4.063973052972346,10.248230353161839,26.179004720813438
County of school,STEM share zero-filled (pp),BJS imputation,10,6.682895499621233,4.1425583270194375,-1.4365188213368638,14.802309820579328
County of school,STEM share zero-filled (pp),BJS imputation,20,16.280543358051695,3.9758406131288497,8.48789575631915,24.07319095978424
County of school,STEM share zero-filled (pp),BJS imputation,30,15.013747521583822,4.135271694678367,6.908615000014223,23.11888004315342
County of school,STEM share zero-filled (pp),BJS imputation,40,15.004078548824825,3.617462857749768,7.913851347635281,22.09430575001437
County of school,STEM share zero-filled (pp),BJS imputation,50,22.7523392701788,3.90985562199215,15.089022251074187,30.415656289283415
County of school,STEM share zero-filled (pp),BJS imputation,60,7.779122153440797,3.9621261274090913,0.013354943718978163,15.544889363162616
County of school,STEM share zero-filled (pp),Wooldridge ETWFE,-60,12.500107382788741,3.700539123247957,5.247050701222745,19.753164064354735
County of school,STEM share zero-filled (pp),Wooldridge ETWFE,-50,14.590917244585048,3.467511734325292,7.794594245307476,21.38724024386262
