outcome,sample,timing,control_spec,control_group,event_time,estimate,se,ci_low,ci_high
log1p_n_inventors,europe_lau,standard_decade,population_level,notyettreated,30,0.21035661732921965,0.11003671643132458,-0.005315346876176519,0.4260285815346158
log1p_n_inventors,europe_lau,standard_decade,population_level,notyettreated,40,0.3966035662892691,0.14642619396375356,0.10960822612031218,0.6835989064582261
log1p_n_inventors,europe_lau,standard_decade,population_level,notyettreated,50,0.4675595742259622,0.16996741064153018,0.1344234493685631,0.8006956990833614
log1p_n_inventors,europe_lau,standard_decade,population_level,notyettreated,60,0.39576614700924995,0.16687729784822955,0.06868664322672002,0.7228456507917799
log1p_n_inventors,europe_lau,standard_decade,population_level,notyettreated,70,0.23400007808786288,0.20246875633430209,-0.1628386843273692,0.6308388405030949
n_stem,europe_lau,standard_decade,population_level,notyettreated,-70,-4.066135927523763,1.6914033939796356,-7.381286579723849,-0.7509852753236772
n_stem,europe_lau,standard_decade,population_level,notyettreated,-60,-3.407548137480869,1.6428211087663491,-6.627477510662914,-0.18761876429882474
n_stem,europe_lau,standard_decade,population_level,notyettreated,-50,-3.8425346206228275,1.9525953036865622,-7.669621415848489,-0.015447825397165715
n_stem,europe_lau,standard_decade,population_level,notyettreated,-40,-2.7358375337833274,1.3829761131596512,-5.446470715576243,-0.025204351990411045
n_stem,europe_lau,standard_decade,population_level,notyettreated,-30,-1.6228247385183,0.8231501572435979,-3.2361990467157518,-0.009450430320848024
n_stem,europe_lau,standard_decade,population_level,notyettreated,-20,-1.7015115450928011,1.0432358056806008,-3.746253724226779,0.3432306340411766
n_stem,europe_lau,standard_decade,population_level,notyettreated,-10,0,NA,NA,NA
n_stem,europe_lau,standard_decade,population_level,notyettreated,0,0.43615707326917236,0.7280912692528059,-0.9909018144663271,1.863215961004672
n_stem,europe_lau,standard_decade,population_level,notyettreated,10,2.5177802099014346,1.1875293328332692,0.19022271754822695,4.845337702254643
n_stem,europe_lau,standard_decade,population_level,notyettreated,20,2.771413928302222,1.3116706357449441,0.20053948224213158,5.342288374362313
n_stem,europe_lau,standard_decade,population_level,notyettreated,30,2.3077954662266817,1.0870590222238274,0.17715978266797983,4.438431149785384
n_stem,europe_lau,standard_decade,population_level,notyettreated,40,5.143126907857263,1.815927693550962,1.5839086284973773,8.702345187217148
n_stem,europe_lau,standard_decade,population_level,notyettreated,50,4.9453675090189355,2.407080050207444,0.2274906106123451,9.663244407425527
n_stem,europe_lau,standard_decade,population_level,notyettreated,60,5.416753005626616,2.4425448000885357,0.6293651974530867,10.204140813800146
n_stem,europe_lau,standard_decade,population_level,notyettreated,70,1.8066542199617688,1.937551985424791,-1.9909476714708214,5.604256111394359
log1p_n_stem,europe_lau,standard_decade,population_level,notyettreated,-70,-0.5591431737807523,0.14241984383634962,-0.8382860676999975,-0.28000027986150705
log1p_n_stem,europe_lau,standard_decade,population_level,notyettreated,-60,-0.38504147159648827,0.10870977555744807,-0.5981126316890865,-0.17197031150389006
log1p_n_stem,europe_lau,standard_decade,population_level,notyettreated,-50,-0.3773155211879384,0.11583724065872257,-0.6043565128790346,-0.15027452949684214
log1p_n_stem,europe_lau,standard_decade,population_level,notyettreated,-40,-0.16344411557317784,0.09566203290245388,-0.35094170006198744,0.02405346891563176
log1p_n_stem,europe_lau,standard_decade,population_level,notyettreated,-30,-0.14181622983265033,0.11914152014254692,-0.3753336093120423,0.09170114964674164
log1p_n_stem,europe_lau,standard_decade,population_level,notyettreated,-20,-0.11017439416017578,0.12042888656327184,-0.3462150118241886,0.12586622350383703
log1p_n_stem,europe_lau,standard_decade,population_level,notyettreated,-10,0,NA,NA,NA
log1p_n_stem,europe_lau,standard_decade,population_level,notyettreated,0,0.005697603806271915,0.10335680846029464,-0.1968817407759056,0.2082769483884494
log1p_n_stem,europe_lau,standard_decade,population_level,notyettreated,10,0.19477013788509207,0.10481075828208268,-0.010658948347789993,0.40019922411797415
log1p_n_stem,europe_lau,standard_decade,population_level,notyettreated,20,0.1820776813671329,0.12072554428310645,-0.05454438542775572,0.4186997481620215
log1p_n_stem,europe_lau,standard_decade,population_level,notyettreated,30,0.2031907897267619,0.11918275497712032,-0.030407410028393894,0.4367889894819177
log1p_n_stem,europe_lau,standard_decade,population_level,notyettreated,40,0.3014891425844648,0.12486337128221119,0.05675693487133088,0.5462213502975988
