fair_row_id,Year,City,Country,Fair_name,event_year,in_treatment_window,lat,lon,geonameid,matched_name,matched_country_iso3,assigned_unit_type,assigned_unit_id,assigned_lau_id,fair_lau_iso2,fair_lau_name,europe_place_name,europe_country,europe_iso3,match_status
510,2002,Metro Manila,Philippines,cancelled,2002,FALSE,14.6042,120.9822,1701668,Manila,PHL,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
511,2002,Gold Coast,Australia,cancelled,2002,FALSE,-28.00029,153.43088,2165087,Gold Coast,AUS,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
512,2002,Haarlemmermeer,Netherlands,Floriade 2002,2002,FALSE,52.3888,4.68893,2755001,Haarlemmerliede,NLD,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
513,2002,Biel,Switzerland,Expo.02,2002,FALSE,46.45587,8.21773,2661514,Biel,CHE,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
514,2003,Rostock,Germany,Internationale Gartenbauausstellung 2003,2003,FALSE,54.0887,12.14049,2844588,Rostock,DEU,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
515,2004,Seine-Saint-Denis,France,cancelled,2004,FALSE,48.91421,2.47604,2975246,Seine-Saint-Denis,FRA,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
516,2004,Barcelona,Spain,Universal Forum of World Cultures,2004,FALSE,41.38879,2.15899,3128760,Barcelona,ESP,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
517,2005,Aichi,Japan,Expo 2005,2005,FALSE,32.51879,130.62158,11192139,Aichi,JPN,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
518,2006-2007,Chiang Mai,Thailand,Royal Flora Ratchaphruek 2006,2006,FALSE,18.79038,98.98468,1153671,Chiang Mai,THA,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
519,2008,Zaragoza,Spain,Expo 2008,2008,FALSE,41.65606,-0.87734,3104324,Zaragoza,ESP,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
520,2010,Shanghai,China,Expo 2010,2010,FALSE,31.22222,121.45806,1796236,Shanghai,CHN,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
521,2012,Venlo,Netherlands,Floriade 2012,2012,FALSE,51.37,6.16806,2745641,Venlo,NLD,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
522,2012,Yeosu,South Korea,Expo 2012,2012,FALSE,34.76062,127.66215,1884138,Yeosu,KOR,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
523,2015,Milan,Italy,Expo 2015,2015,FALSE,45.46427,9.18951,3173435,Milan,ITA,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
524,2016,Antalya,Türkiye,Expo 2016,2016,FALSE,36.90812,30.69556,323777,Antalya,TUR,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
