outcome,sample,timing,control_group,event_time,estimate,se,ci_low,ci_high
log1p_n_stem,europe_lau,standard_decade,notyettreated,20,0.21322903895394363,0.09822765503430952,0.020702835086696958,0.4057552428211903
log1p_n_stem,europe_lau,standard_decade,notyettreated,30,0.2657601175557229,0.09031960433626449,0.0887336930566445,0.4427865420548013
log1p_n_stem,europe_lau,standard_decade,notyettreated,40,0.33722492568419044,0.08957980544267458,0.16164850701654826,0.5128013443518327
log1p_n_stem,europe_lau,standard_decade,notyettreated,50,0.3605463452909797,0.09793887341429182,0.1685861533989677,0.5525065371829916
log1p_n_stem,europe_lau,standard_decade,notyettreated,60,0.38528266084655083,0.10483708467498251,0.1798019748835851,0.5907633468095166
log1p_n_stem,europe_lau,standard_decade,notyettreated,70,0.15728372369470367,0.12326234798340592,-0.08431047835277192,0.3988779257421793
inventors_per_100k_pop,europe_lau,alternative_decade,notyettreated,-70,-2.355860765285494,2.094763841540085,-6.461597894704061,1.749876364133073
inventors_per_100k_pop,europe_lau,alternative_decade,notyettreated,-60,-0.1732970933921389,1.9392830968295358,-3.974291963178029,3.6276977763937515
inventors_per_100k_pop,europe_lau,alternative_decade,notyettreated,-50,-0.5160752578289926,1.7325107293039257,-3.911796287264687,2.8796457716067017
inventors_per_100k_pop,europe_lau,alternative_decade,notyettreated,-40,-0.35193907703956206,1.5684541191386774,-3.42610915055137,2.7222309964722458
inventors_per_100k_pop,europe_lau,alternative_decade,notyettreated,-30,2.3317481906117763,1.3783093957098467,-0.36973822497952336,5.0332346062030755
inventors_per_100k_pop,europe_lau,alternative_decade,notyettreated,-20,0.6981193180227006,1.3944475989707001,-2.0349979759598718,3.4312366120052724
inventors_per_100k_pop,europe_lau,alternative_decade,notyettreated,-10,0,NA,NA,NA
inventors_per_100k_pop,europe_lau,alternative_decade,notyettreated,0,0.6220658120521988,1.0517618488391713,-1.4393874116725769,2.6835190357769747
inventors_per_100k_pop,europe_lau,alternative_decade,notyettreated,10,-1.0072151365488755,1.015389950070579,-2.9973794386872106,0.9829491655894593
inventors_per_100k_pop,europe_lau,alternative_decade,notyettreated,20,-2.555920542502648,1.2868879479310276,-5.078220920447462,-0.03362016455783401
inventors_per_100k_pop,europe_lau,alternative_decade,notyettreated,30,-2.689774362673218,1.2671686936353088,-5.173425002198423,-0.20612372314801286
