wikidata_code,birth,bplo1,bpla1,level1_main_occ,level3_main_occ,level3_all_occ,level3_occ,stem,GEOID,birth_decade,father_uri,father_occ,mother_uri,schools_uris,has_father,has_mother,has_school,has_father_occ
Q2748738,1958,-98.579498291015625,39.82817459106445,Discovery/Science,palaeontologist,D:_palaeontologist_P:_biologist_curator_faculty_English_paläontologe_kurat_forschung_German,palaeontologist,1,20183,1950,NA,NA,NA,http://www.wikidata.org/entity/Q263064|http://www.wikidata.org/entity/Q1191335,FALSE,FALSE,TRUE,FALSE
Q19591269,1946,-122.6666641235352,45.51666641235352,Discovery/Science,naturalist,D:_naturalist_P:_biologist_conservationist_English,naturalist,1,41051,1940,NA,NA,NA,http://www.wikidata.org/entity/Q861888,FALSE,FALSE,TRUE,FALSE
Q726241,1891,-84.84638977050781,43.17694473266602,Discovery/Science,botanist,D:_botanist_P:_botanist_world war_doctor_English_botaniste_French_botaniker_offiziell_autor_German_botánic_biolog_biología_Spanish_botaniker_Swedish,botanist,1,26117,1890,NA,NA,NA,http://www.wikidata.org/entity/Q270222|http://www.wikidata.org/entity/Q457281,FALSE,FALSE,TRUE,FALSE
Q30097904,1873,-84.19416809082031,40.56916809082031,Discovery/Science,biologist,D:_biologist_P:,biologist,1,39011,1870,NA,NA,NA,http://www.wikidata.org/entity/Q309331,FALSE,FALSE,TRUE,FALSE
Q1617351,1883,-75.16361236572266,39.95277786254883,Discovery/Science,biologist,D:_biologist_zoologist_herpetologist_educator_P:_biologist_zoologist_herpetologist_English_biologiste_zoologiste_French_biologa_zoologa_Italian_biolog_biología_biólog_Spanish,biologist,1,42101,1880,NA,NA,NA,http://www.wikidata.org/entity/Q161976|http://www.wikidata.org/entity/Q995265|http://www.wikidata.org/entity/Q1307345,FALSE,FALSE,TRUE,FALSE
Q6968858,1826,-72.2058334350586,42.95500183105469,Discovery/Science,inventor,D:_inventor_poet_P:_patent_solicitor_invention_English,inventor,1,33005,1820,NA,NA,NA,http://www.wikidata.org/entity/Q13371|http://www.wikidata.org/entity/Q49123|http://www.wikidata.org/entity/Q1432645,FALSE,FALSE,TRUE,FALSE
Q971382,1887,-91.11583709716797,40.80805587768555,Discovery/Science,ecologist,D:_ecologist_academic_scientist_academic_writer_P:_author_philosopher_scientist_English_écologiste_French_ecologo_cacciatore_Italian_wissenschaftler_biologe_jäger_German_silvicultor_ambientalista_ciencia_Spanish_acadêmic_filósof_conservacionista_Portuguese,ecologist,1,19057,1880,NA,NA,NA,http://www.wikidata.org/entity/Q49112|http://www.wikidata.org/entity/Q4999248|http://www.wikidata.org/entity/Q7492742|http://www.wikidata.org/entity/Q8047424|http://www.wikidata.org/entity/Q11351132,FALSE,FALSE,TRUE,FALSE
Q16196032,1965,-74.110198974609375,40.66239929199219,Discovery/Science,botanist,D:_botanist_P:_botanist_English_profesor_botánica_Spanish,botanist,1,34003,1960,NA,NA,NA,http://www.wikidata.org/entity/Q219563,FALSE,FALSE,TRUE,FALSE
Q6253793,1941,-91.5977783203125,42.0341682434082,Discovery/Science,engineer,D:_engineer_P:_engineer_professor_engineer_English,engineer,1,19113,1940,NA,NA,NA,http://www.wikidata.org/entity/Q670897|http://www.wikidata.org/entity/Q1136919,FALSE,FALSE,TRUE,FALSE
Q21062333,1963,-82.5,40.5,Discovery/Science,chemist,D:_chemist_P:_professor_chemist_research_English_chemiker_German,chemist,1,39083,1960,NA,NA,NA,http://www.wikidata.org/entity/Q13371|http://www.wikidata.org/entity/Q49108|http://www.wikidata.org/entity/Q6802145,FALSE,FALSE,TRUE,FALSE
Q48472020,1943,-89.250274658203125,40.00027847290039,Discovery/Science,physicist,D:_physicist_P:_physicist_professor_quantum_English,physicist,1,17107,1940,NA,NA,NA,http://www.wikidata.org/entity/Q49112|http://www.wikidata.org/entity/Q49118,FALSE,FALSE,TRUE,FALSE
Q17182917,1929,-86.717498779296875,41.60919952392578,Discovery/Science,meteorologist,D:_meteorologist_P:_meteorologist_scientist_research_English,meteorologist,1,18091,1920,NA,NA,NA,http://www.wikidata.org/entity/Q739627|http://www.wikidata.org/entity/Q1179599,FALSE,FALSE,TRUE,FALSE
Q2736027,1927,-110.9263916015625,32.2216682434082,Discovery/Science,physicist,D:_physicist_academic_P:_physicist_quantum_English_physiker_German,physicist,1,04019,1920,NA,NA,NA,http://www.wikidata.org/entity/Q235034|http://www.wikidata.org/entity/Q1206658,FALSE,FALSE,TRUE,FALSE
Q5363352,1964,-98.579498291015625,39.82817459106445,Discovery/Science,epidemiologist,D:_epidemiologist_journalist_research_P:_journalist_epidemiologist_bureaucrat_English,epidemiologist,1,20183,1960,NA,NA,NA,http://www.wikidata.org/entity/Q34433,FALSE,FALSE,TRUE,FALSE
Q8017342,1877,-75.65333557128906,43.08499908447266,Discovery/Science,botanist,D:_botanist_P:_botanist_curator_botanist_English_botánic_botánica_Spanish_botânico_curador_Portuguese_botaniker_Swedish,botanist,1,36053,1870,NA,NA,NA,http://www.wikidata.org/entity/Q617433,FALSE,FALSE,TRUE,FALSE
Q901599,1875,-87.0907974243164,39.52610015869141,Discovery/Science,chemist,D:_chemist_academic_P:_chemist_professor_world war_English_chemiker_German_químic_Portuguese,chemist,1,18021,1870,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE
Q6281344,1831,-70.42138671875,44.69861221313477,Discovery/Science,inventor,D:_inventor_P:_inventor_English_ ehe_German,inventor,1,23007,1830,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE
Q302925,1888,-100,41.5,Discovery/Science,botanist,D:_botanist_P:_botanist_English_botaniker_offiziell_autor_German_botánic_Spanish,botanist,1,31041,1880,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE
Q43027,1889,-92.90721893310547,37.33943939208984,Discovery/Science,astronomer,D:_astronomer_astrophysicist_P:_astronomer_astronomy_English_astronome_loi_prêtre_French_astronomo_fisico_Italian_astronom_German_astrónomo_general_padre_Spanish_astrônom_Portuguese_marin_astronom_Swedish,astronomer,1,29225,1880,NA,NA,NA,http://www.wikidata.org/entity/Q73094|http://www.wikidata.org/entity/Q131252|http://www.wikidata.org/entity/Q7991966,FALSE,FALSE,TRUE,FALSE
Q19668375,1955,-79.27083587646484,36.09583282470703,Discovery/Science,scientist,D:_scientist_P:_professor_medical_research_English,scientist,1,37001,1950,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE
