spec,outcome,estimator,conf_low,conf_high,event_time,att,se
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,-0.001679666246179057,0.01241060853138469,-20,0.005365471142602817,0.0035944578514193236
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,0,0,-10,0,0
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,-0.02750827536926434,0.02234919807114586,0,-0.002579538649059238,0.01271874322459444
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,-0.032420146037944915,0.007039570363951761,10,-0.012690287836996576,0.010066254184157315
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,-0.021269772685632075,0.037792781330792655,20,0.008261504322580288,0.01506697806541447
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,-0.006772201115202134,0.01686458071875665,30,0.005046189801777258,0.0060297912841731595
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,-0.016846454033462507,0.007059418498129692,40,-0.004893517767666408,0.006098436870304132
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,-0.029181499538237222,6.381321099578757e-4,50,-0.014271683714139673,0.007607048889845688
High access vs all other counties,"STEM births per 1,000 est. births",Wooldridge ETWFE,-0.04288443885363022,-0.012920579390527294,-50,-0.027902509122078756,0.0076438416997711535
High access vs all other counties,"STEM births per 1,000 est. births",Wooldridge ETWFE,-0.04783056627917866,-0.02170310256970688,-40,-0.03476683442444277,0.006665169313640759
High access vs all other counties,"STEM births per 1,000 est. births",Wooldridge ETWFE,4.5124934648241993e-4,0.02896445550023936,-30,0.01470785242336089,0.007273777080040036
High access vs all other counties,"STEM births per 1,000 est. births",Wooldridge ETWFE,-0.018112142133335812,0.009783575952158893,-20,-0.004164283090588461,0.007116254613646608
High access vs all other counties,"STEM births per 1,000 est. births",Wooldridge ETWFE,0,0,-10,0,0
High access vs all other counties,"STEM births per 1,000 est. births",Wooldridge ETWFE,-0.039436671837032436,0.038827646683706085,0,-3.04512576663178e-4,0.01996538737773942
High access vs all other counties,"STEM births per 1,000 est. births",Wooldridge ETWFE,-0.03674562578703411,0.027124910063664808,10,-0.004810357861684652,0.016293504043545643
High access vs all other counties,"STEM births per 1,000 est. births",Wooldridge ETWFE,-0.009405500873930744,0.09506589538683695,20,0.0428301972564531,0.026650866393052985
High access vs all other counties,"STEM births per 1,000 est. births",Wooldridge ETWFE,0.04795909129980691,0.0792409694935633,30,0.0636000303966851,0.007980070967794994
High access vs all other counties,"STEM births per 1,000 est. births",Wooldridge ETWFE,0.0371896158576399,0.06595366206418038,40,0.05157163896091014,0.007337766889423592
High access vs all other counties,"STEM births per 1,000 est. births",Wooldridge ETWFE,0.023871881695794735,0.06447243592672802,50,0.04417215881126138,0.010357284242585023
High access vs all other counties,"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,-0.01167423670691108,0.011911568245557225,-50,1.1866576932307237e-4,0.006016786977670486
