GEOID,decade,population,n_inventors,any_allsci,inv_per_100k,log1p_n_inventors,lon_county,lat_county
17077,1870,19634,0,0,0,0,-89.38225705567037,37.78591776107898
17077,1880,22505,2,1,8.886914019106865,1.0986122886681098,-89.38225705567037,37.78591776107898
17077,1890,27809,0,0,0,0,-89.38225705567037,37.78591776107898
17077,1900,33871,0,0,0,0,-89.38225705567037,37.78591776107898
17077,1910,35143,0,0,0,0,-89.38225705567037,37.78591776107898
17077,1920,37091,0,0,0,0,-89.38225705567037,37.78591776107898
17077,1930,35680,2,1,5.605381165919282,1.0986122886681098,-89.38225705567037,37.78591776107898
17077,1940,37920,0,0,0,0,-89.38225705567037,37.78591776107898
17077,1950,38124,0,0,0,0,-89.38225705567037,37.78591776107898
17077,1960,42151,1,1,2.372422955564518,0.6931471805599453,-89.38225705567037,37.78591776107898
17077,1970,55008,0,0,0,0,-89.38225705567037,37.78591776107898
17077,1980,61522,0,0,0,0,-89.38225705567037,37.78591776107898
17077,1990,61067,0,0,0,0,-89.38225705567037,37.78591776107898
17077,2000,59612,0,0,0,0,-89.38225705567037,37.78591776107898
17079,1800,NA,0,0,NA,0,-88.15437458788593,39.01055949660594
17079,1810,NA,0,0,NA,0,-88.15437458788593,39.01055949660594
17079,1820,NA,0,0,NA,0,-88.15437458788593,39.01055949660594
17079,1830,NA,0,0,NA,0,-88.15437458788593,39.01055949660594
17079,1840,NA,0,0,NA,0,-88.15437458788593,39.01055949660594
17079,1850,3220,0,0,0,0,-88.15437458788593,39.01055949660594
17079,1860,8364,0,0,0,0,-88.15437458788593,39.01055949660594
17079,1870,11234,0,0,0,0,-88.15437458788593,39.01055949660594
17079,1880,14515,0,0,0,0,-88.15437458788593,39.01055949660594
17079,1890,18188,0,0,0,0,-88.15437458788593,39.01055949660594
17079,1900,20160,0,0,0,0,-88.15437458788593,39.01055949660594
17079,1910,18157,0,0,0,0,-88.15437458788593,39.01055949660594
17079,1920,16064,0,0,0,0,-88.15437458788593,39.01055949660594
17079,1930,12809,0,0,0,0,-88.15437458788593,39.01055949660594
17079,1940,13431,0,0,0,0,-88.15437458788593,39.01055949660594
17079,1950,12266,0,0,0,0,-88.15437458788593,39.01055949660594
17079,1960,11346,0,0,0,0,-88.15437458788593,39.01055949660594
17079,1970,10741,0,0,0,0,-88.15437458788593,39.01055949660594
17079,1980,11318,0,0,0,0,-88.15437458788593,39.01055949660594
17079,1990,10609,0,0,0,0,-88.15437458788593,39.01055949660594
17079,2000,10117,0,0,0,0,-88.15437458788593,39.01055949660594
17081,1800,NA,0,0,NA,0,-88.92415005143641,38.299780768148665
17081,1810,NA,0,0,NA,0,-88.92415005143641,38.299780768148665
17081,1820,NA,0,0,NA,0,-88.92415005143641,38.299780768148665
17081,1830,NA,0,0,NA,0,-88.92415005143641,38.299780768148665
17081,1840,NA,0,0,NA,0,-88.92415005143641,38.299780768148665
17081,1850,8109,0,0,0,0,-88.92415005143641,38.299780768148665
17081,1860,12965,0,0,0,0,-88.92415005143641,38.299780768148665
17081,1870,17864,0,0,0,0,-88.92415005143641,38.299780768148665
17081,1880,20686,0,0,0,0,-88.92415005143641,38.299780768148665
17081,1890,22590,1,1,4.426737494466578,0.6931471805599453,-88.92415005143641,38.299780768148665
17081,1900,28133,0,0,0,0,-88.92415005143641,38.299780768148665
17081,1910,29111,0,0,0,0,-88.92415005143641,38.299780768148665
17081,1920,28480,0,0,0,0,-88.92415005143641,38.299780768148665
17081,1930,31034,0,0,0,0,-88.92415005143641,38.299780768148665
17081,1940,34375,0,0,0,0,-88.92415005143641,38.299780768148665
17081,1950,35892,0,0,0,0,-88.92415005143641,38.299780768148665
17081,1960,32315,0,0,0,0,-88.92415005143641,38.299780768148665
17081,1970,31446,0,0,0,0,-88.92415005143641,38.299780768148665
17081,1980,36552,0,0,0,0,-88.92415005143641,38.299780768148665
17081,1990,37020,0,0,0,0,-88.92415005143641,38.299780768148665
17081,2000,40045,0,0,0,0,-88.92415005143641,38.299780768148665
17083,1800,NA,0,0,NA,0,-90.35389915657747,39.088638799993696
17083,1810,NA,0,0,NA,0,-90.35389915657747,39.088638799993696
17083,1820,NA,0,0,NA,0,-90.35389915657747,39.088638799993696
17083,1830,NA,0,0,NA,0,-90.35389915657747,39.088638799993696
17083,1840,NA,1,1,NA,0.6931471805599453,-90.35389915657747,39.088638799993696
17083,1850,7354,0,0,0,0,-90.35389915657747,39.088638799993696
17083,1860,12051,0,0,0,0,-90.35389915657747,39.088638799993696
17083,1870,15054,1,1,6.642752756742394,0.6931471805599453,-90.35389915657747,39.088638799993696
17083,1880,15542,0,0,0,0,-90.35389915657747,39.088638799993696
17083,1890,14810,0,0,0,0,-90.35389915657747,39.088638799993696
17083,1900,14612,0,0,0,0,-90.35389915657747,39.088638799993696
17083,1910,13954,0,0,0,0,-90.35389915657747,39.088638799993696
17083,1920,12682,0,0,0,0,-90.35389915657747,39.088638799993696
17083,1930,12556,0,0,0,0,-90.35389915657747,39.088638799993696
17083,1940,13636,0,0,0,0,-90.35389915657747,39.088638799993696
17083,1950,15264,0,0,0,0,-90.35389915657747,39.088638799993696
17083,1960,17023,0,0,0,0,-90.35389915657747,39.088638799993696
17083,1970,18492,0,0,0,0,-90.35389915657747,39.088638799993696
17083,1980,20538,0,0,0,0,-90.35389915657747,39.088638799993696
17083,1990,20539,0,0,0,0,-90.35389915657747,39.088638799993696
17083,2000,21668,0,0,0,0,-90.35389915657747,39.088638799993696
17085,1800,NA,0,0,NA,0,-90.21073062284032,42.36546035819971
17085,1810,NA,0,0,NA,0,-90.21073062284032,42.36546035819971
17085,1820,NA,0,0,NA,0,-90.21073062284032,42.36546035819971
17085,1830,NA,0,0,NA,0,-90.21073062284032,42.36546035819971
17085,1840,NA,0,0,NA,0,-90.21073062284032,42.36546035819971
17085,1850,18604,0,0,0,0,-90.21073062284032,42.36546035819971
17085,1860,27325,0,0,0,0,-90.21073062284032,42.36546035819971
17085,1870,27820,0,0,0,0,-90.21073062284032,42.36546035819971
17085,1880,27528,0,0,0,0,-90.21073062284032,42.36546035819971
17085,1890,25101,0,0,0,0,-90.21073062284032,42.36546035819971
17085,1900,24533,1,1,4.076142338890474,0.6931471805599453,-90.21073062284032,42.36546035819971
17085,1910,22657,1,1,4.413646996513219,0.6931471805599453,-90.21073062284032,42.36546035819971
17085,1920,21917,0,0,0,0,-90.21073062284032,42.36546035819971
17085,1930,20235,0,0,0,0,-90.21073062284032,42.36546035819971
17085,1940,19989,0,0,0,0,-90.21073062284032,42.36546035819971
17085,1950,21459,0,0,0,0,-90.21073062284032,42.36546035819971
17085,1960,21821,0,0,0,0,-90.21073062284032,42.36546035819971
17085,1970,21766,0,0,0,0,-90.21073062284032,42.36546035819971
17085,1980,23520,0,0,0,0,-90.21073062284032,42.36546035819971
17085,1990,21821,0,0,0,0,-90.21073062284032,42.36546035819971
17085,2000,22289,0,0,0,0,-90.21073062284032,42.36546035819971
17087,1800,NA,0,0,NA,0,-88.88174745715301,37.45929143846517
17087,1810,NA,0,0,NA,0,-88.88174745715301,37.45929143846517
17087,1820,NA,0,0,NA,0,-88.88174745715301,37.45929143846517
17087,1830,NA,0,0,NA,0,-88.88174745715301,37.45929143846517
17087,1840,NA,0,0,NA,0,-88.88174745715301,37.45929143846517
17087,1850,4114,0,0,0,0,-88.88174745715301,37.45929143846517
17087,1860,9342,0,0,0,0,-88.88174745715301,37.45929143846517
17087,1870,11248,0,0,0,0,-88.88174745715301,37.45929143846517
