"country","iso3","year","births","n_allsci","rate_per_1000_mort","rate_per_1000_deaths","rate_per_100k_births"
"Argentina","ARG",1821,27110,2,0.123403467637441,0.123380629241209,7.37735153080044
"Argentina","ARG",1823,27950,1,0.0598479861152672,0.0598444045481747,3.5778175313059
"Argentina","ARG",1826,29500,1,0.0567054153671676,0.0567214974475326,3.38983050847458
"Argentina","ARG",1828,30750,2,0.108796170374803,0.108813928182807,6.50406504065041
"Argentina","ARG",1830,32180,1,0.0519804553487889,0.051975051975052,3.10752019888129
"Argentina","ARG",1831,32970,1,0.0507356671740233,0.0507356671740233,3.03306035790112
"Argentina","ARG",1833,34600,3,0.145039644169406,0.14499758337361,8.67052023121387
"Argentina","ARG",1834,35440,2,0.0944019635608421,0.0943841434638981,5.64334085778781
"Argentina","ARG",1837,38100,2,0.0878078763665101,0.0877963125548727,5.249343832021
"Argentina","ARG",1838,39020,1,0.0428687786684957,0.0428816466552316,2.56278831368529
"Argentina","ARG",1839,39980,1,0.0418410041841004,0.0418410041841004,2.50125062531266
"Argentina","ARG",1840,40950,2,0.0816993464052288,0.0816993464052288,4.88400488400488
"Argentina","ARG",1843,44020,1,0.037999696002432,0.0380083618396047,2.27169468423444
"Argentina","ARG",1844,45100,2,0.0741812247320203,0.0741839762611276,4.43458980044346
"Argentina","ARG",1846,47340,1,0.0353356890459364,0.0353356890459364,2.11237853823405
"Argentina","ARG",1847,48500,2,0.0689797889218459,0.0689893066574681,4.12371134020619
"Argentina","ARG",1848,49700,2,0.0673151358082865,0.0673174015483002,4.02414486921529
"Argentina","ARG",1849,50920,5,0.164257555847569,0.164257555847569,9.81932443047918
"Argentina","ARG",1850,52170,1,0.0320636142105938,0.0320615581917281,1.91681042744873
"Argentina","ARG",1851,53460,1,0.0312900904283613,0.0312891113892365,1.87055742611298
"Argentina","ARG",1852,54780,5,0.152681079760596,0.152671755725191,9.12741876597298
"Argentina","ARG",1853,56130,1,0.0298018179108926,0.029806259314456,1.78157847853198
"Argentina","ARG",1854,57520,4,0.116326411911825,0.116312881651643,6.95410292072323
"Argentina","ARG",1855,58940,2,0.0567617425854974,0.0567536889897843,3.39328130302002
"Argentina","ARG",1856,60400,4,0.110778774786751,0.110772639158128,6.62251655629139
"Argentina","ARG",1857,61890,5,0.135142440131899,0.135135135135135,8.07884957182097
"Argentina","ARG",1859,65000,1,0.0257347264398579,0.0257334019557386,1.53846153846154
"Argentina","ARG",1860,66610,2,0.0502260170768458,0.0502260170768458,3.00255216934394
"Argentina","ARG",1861,68300,5,0.122458976242959,0.122458976242959,7.32064421669107
"Argentina","ARG",1862,70050,7,0.16715619552499,0.167144221585482,9.99286224125625
"Argentina","ARG",1863,71880,2,0.046543017383817,0.0465441005352572,2.78241513633834
"Argentina","ARG",1864,73790,1,0.0226695683714182,0.022670596236681,1.35519718118986
"Argentina","ARG",1865,75780,4,0.0882963224581696,0.0883002207505519,5.27843758247559
"Argentina","ARG",1866,77850,2,0.0429737859905458,0.0429737859905458,2.56904303147078
"Argentina","ARG",1867,80000,2,0.0418191322530058,0.0418235048097031,2.5
