"GEOID","decade","population","n_inventors","inv_per_100k","lon_county","lat_county"
"17087",2000,12878,0,0,-88.881747557193,37.4592911081385
"08011",1870,NA,0,NA,-103.072027802693,37.9546476998669
"08011",1880,1654,0,0,-103.072027802693,37.9546476998669
"08011",1890,1313,0,0,-103.072027802693,37.9546476998669
"08011",1900,3049,0,0,-103.072027802693,37.9546476998669
"08011",1910,5043,1,19.8294665873488,-103.072027802693,37.9546476998669
"08011",1920,9705,0,0,-103.072027802693,37.9546476998669
"08011",1930,9134,1,10.9481059776659,-103.072027802693,37.9546476998669
"08011",1940,9653,0,0,-103.072027802693,37.9546476998669
"08011",1950,8775,0,0,-103.072027802693,37.9546476998669
"08011",1960,7419,0,0,-103.072027802693,37.9546476998669
"08011",1970,6493,0,0,-103.072027802693,37.9546476998669
"08011",1980,5945,0,0,-103.072027802693,37.9546476998669
"08011",1990,5048,0,0,-103.072027802693,37.9546476998669
"08011",2000,5998,0,0,-103.072027802693,37.9546476998669
"51169",1870,13036,0,0,-82.6017922711583,36.71471970487
"51169",1880,17233,0,0,-82.6017922711583,36.71471970487
"51169",1890,21694,1,4.60956946621186,-82.6017922711583,36.71471970487
"51169",1900,22694,0,0,-82.6017922711583,36.71471970487
"51169",1910,23814,0,0,-82.6017922711583,36.71471970487
"51169",1920,24776,1,4.03616402970617,-82.6017922711583,36.71471970487
"51169",1930,24181,0,0,-82.6017922711583,36.71471970487
"51169",1940,26989,0,0,-82.6017922711583,36.71471970487
"51169",1950,27640,0,0,-82.6017922711583,36.71471970487
"51169",1960,25813,0,0,-82.6017922711583,36.71471970487
"51169",1970,24376,0,0,-82.6017922711583,36.71471970487
"51169",1980,25068,0,0,-82.6017922711583,36.71471970487
"51169",1990,23204,0,0,-82.6017922711583,36.71471970487
"51169",2000,23403,0,0,-82.6017922711583,36.71471970487
"35011",1870,NA,0,NA,-104.411918887123,34.3427203834302
"35011",1880,NA,0,NA,-104.411918887123,34.3427203834302
"35011",1890,NA,0,NA,-104.411918887123,34.3427203834302
"35011",1900,NA,0,NA,-104.411918887123,34.3427203834302
"35011",1910,NA,0,NA,-104.411918887123,34.3427203834302
"35011",1920,3196,0,0,-104.411918887123,34.3427203834302
"35011",1930,2893,0,0,-104.411918887123,34.3427203834302
"35011",1940,3725,0,0,-104.411918887123,34.3427203834302
"35011",1950,3464,0,0,-104.411918887123,34.3427203834302
"35011",1960,2991,0,0,-104.411918887123,34.3427203834302
"35011",1970,2547,0,0,-104.411918887123,34.3427203834302
"35011",1980,2454,0,0,-104.411918887123,34.3427203834302
"35011",1990,2252,0,0,-104.411918887123,34.3427203834302
"35011",2000,2240,0,0,-104.411918887123,34.3427203834302
"48363",1870,NA,0,NA,-98.3132257968289,32.753058764278
"48363",1880,5885,0,0,-98.3132257968289,32.753058764278
"48363",1890,8320,0,0,-98.3132257968289,32.753058764278
"48363",1900,12291,0,0,-98.3132257968289,32.753058764278
"48363",1910,19506,0,0,-98.3132257968289,32.753058764278
"48363",1920,23431,0,0,-98.3132257968289,32.753058764278
"48363",1930,17576,0,0,-98.3132257968289,32.753058764278
"48363",1940,18456,1,5.41829215431296,-98.3132257968289,32.753058764278
"48363",1950,17154,0,0,-98.3132257968289,32.753058764278
"48363",1960,20516,0,0,-98.3132257968289,32.753058764278
"48363",1970,28962,0,0,-98.3132257968289,32.753058764278
"48363",1980,24062,0,0,-98.3132257968289,32.753058764278
"48363",1990,25055,0,0,-98.3132257968289,32.753058764278
"48363",2000,27026,0,0,-98.3132257968289,32.753058764278
"13013",1870,NA,0,NA,-83.7143481026798,33.9915341457671
"13013",1880,NA,1,NA,-83.7143481026798,33.9915341457671
"13013",1890,NA,0,NA,-83.7143481026798,33.9915341457671
"13013",1900,NA,0,NA,-83.7143481026798,33.9915341457671
"13013",1910,NA,0,NA,-83.7143481026798,33.9915341457671
"13013",1920,13188,0,0,-83.7143481026798,33.9915341457671
"13013",1930,12401,0,0,-83.7143481026798,33.9915341457671
"13013",1940,13064,0,0,-83.7143481026798,33.9915341457671
"13013",1950,13115,0,0,-83.7143481026798,33.9915341457671
"13013",1960,14485,0,0,-83.7143481026798,33.9915341457671
"13013",1970,16859,0,0,-83.7143481026798,33.9915341457671
"13013",1980,21354,0,0,-83.7143481026798,33.9915341457671
"13013",1990,29721,0,0,-83.7143481026798,33.9915341457671
"13013",2000,46144,0,0,-83.7143481026798,33.9915341457671
"01059",1870,8006,1,12.4906320259805,-87.8428405293438,34.4426256875399
"01059",1880,9155,0,0,-87.8428405293438,34.4426256875399
"01059",1890,10681,0,0,-87.8428405293438,34.4426256875399
"01059",1900,16511,0,0,-87.8428405293438,34.4426256875399
"01059",1910,19369,0,0,-87.8428405293438,34.4426256875399
"01059",1920,22011,0,0,-87.8428405293438,34.4426256875399
