GEOID,decade,population,source
31007,1800,111.17040252685548,hyde
18037,1800,59.18125915527344,hyde
05027,1800,160.8245391845703,hyde
08099,1800,217.0412139892578,hyde
18077,1800,144.5354461669922,hyde
19043,1800,350.5602111816406,hyde
24025,1800,17074.30078125,hyde
40141,1800,1042.9326171875,hyde
40045,1800,898.027099609375,hyde
51083,1800,12846.193359375,hyde
13081,1800,461.8597717285156,hyde
05125,1800,265.6986999511719,hyde
08027,1800,104.67942810058594,hyde
13097,1800,1726.671875,hyde
17095,1800,195.73464965820313,hyde
20151,1800,490.5792846679687,hyde
22003,1800,654.8553466796875,hyde
26067,1800,78.37892150878906,hyde
31099,1800,210.91127014160156,hyde
22043,1800,1323.200927734375,hyde
42019,1800,11212.751953125,hyde
29173,1800,93.0752182006836,hyde
48169,1800,230.1027984619141,hyde
47025,1800,1144.0909423828125,hyde
55121,1800,339.150390625,hyde
47125,1800,2294.921142578125,hyde
08043,1800,435.9933776855469,hyde
20155,1800,2265.715576171875,hyde
21169,1800,1077.2257080078125,hyde
29205,1800,55.5743522644043,hyde
39163,1800,232.74209594726565,hyde
42077,1800,8157.55908203125,hyde
26101,1800,34.66234588623047,hyde
13259,1800,570.6492919921875,hyde
18051,1800,65.498870849609375,hyde
19109,1800,455.5870056152344,hyde
27091,1800,50.4804801940918,hyde
31131,1800,270.2293395996094,hyde
48203,1800,995.1890869140624,hyde
51193,1800,1758.5177001953125,hyde
05141,1800,155.3815155029297,hyde
12077,1800,170.62217712402344,hyde
16061,1800,89.35099029541016,hyde
18081,1800,76.4398422241211,hyde
18113,1800,67.52767181396484,hyde
20159,1800,856.5169677734375,hyde
21029,1800,2368.781982421875,hyde
28117,1800,94.04155731201172,hyde
28071,1800,107.96048736572266,hyde
21137,1800,1844.543212890625,hyde
37061,1800,4495.91259765625,hyde
40153,1800,1449.1685791015625,hyde
46059,1800,119.0088348388672,hyde
46067,1800,165.31272888183594,hyde
48249,1800,701.053466796875,hyde
51135,1800,4425.974609375,hyde
55005,1800,398.1790161132813,hyde
51700,1800,3062.064453125,hyde
48309,1800,1801.550048828125,hyde
18111,1800,43.0851936340332,hyde
20047,1800,456.7569580078125,hyde
