spec,outcome,event_time,att,se,conf_low,conf_high
High-access first nearby exposure,STEM births per 100k,-30,-2.667194897888702,2.383803115342709,-7.339449003960411,2.0050592081830074
High-access first nearby exposure,STEM births per 100k,-20,0.743205916362008,0.7313672707546689,-0.6902739343171431,2.176685767041159
High-access first nearby exposure,STEM births per 100k,0,1.3228556280724217,2.305111374879297,-3.1951626666910005,5.8408739228358435
High-access first nearby exposure,STEM births per 100k,10,1.443691467613909,2.1670618322824944,-2.80374972365978,5.6911326588875975
High-access first nearby exposure,STEM births per 100k,20,1.159227872179291,2.0085103132802087,-2.777452341849918,5.0959080862084996
High-access first nearby exposure,STEM births per 100k,30,1.3099892595541027,2.20293938903399,-3.007771942952518,5.627750462060723
High-access first nearby exposure,STEM births per 100k,40,1.3965406348183087,2.3165787807162537,-3.1439537753855484,5.937035045022166
High-access first nearby exposure,Any STEM birth (pct points),-40,-29.622063329928505,33.032791767785476,-94.36633519478804,35.12220853493102
High-access first nearby exposure,Any STEM birth (pct points),-30,0.4510450758444343,0.5712432362965637,-0.6685916672968305,1.5706818189856993
High-access first nearby exposure,Any STEM birth (pct points),-20,-0.017137089769513128,0.5933794085272635,-1.1801607304829496,1.1458865509439233
High-access first nearby exposure,Any STEM birth (pct points),0,-0.6394604084408327,0.7895335233985195,-2.186946114301931,0.9080252974202653
High-access first nearby exposure,Any STEM birth (pct points),10,-1.388271652458772,0.7873167323766089,-2.9314124479169257,0.1548691429993816
High-access first nearby exposure,Any STEM birth (pct points),20,0.3215623327982884,1.5812924064782454,-2.777770783899072,3.4208954494956494
High-access first nearby exposure,Any STEM birth (pct points),30,-17.493166010019944,22.41418356495293,-61.42496579732769,26.438633777287794
High-access first nearby exposure,Any STEM birth (pct points),40,3.5486787156129056,3.10284406038057,-2.5328956427330116,9.630253073958823
Low-access first nearby exposure,STEM share (pct points),-40,-2.439306770931889,6.979335329421207,-16.11880401659745,11.240190474733675
Low-access first nearby exposure,STEM share (pct points),-30,-10.332287165328502,4.174754577690865,-18.514806137602598,-2.149768193054406
Low-access first nearby exposure,STEM share (pct points),-20,-3.1119470637178446,4.355786471874558,-11.649288548591977,5.425394421156289
Low-access first nearby exposure,STEM share (pct points),0,-3.769631364162854,4.50979255417733,-12.60882477035042,5.069562042024713
Low-access first nearby exposure,STEM share (pct points),10,-4.048822938712668,4.513039786626622,-12.894380920500847,4.796735043075511
Low-access first nearby exposure,STEM share (pct points),20,-1.8893818664683695,4.706981195332266,-11.11506500931961,7.336301276382871
Low-access first nearby exposure,STEM share (pct points),30,-0.031952336875732734,4.041298744297741,-7.952897875699305,7.888993201947839
Low-access first nearby exposure,STEM share (pct points),40,1.726776839365772,3.7269024945237876,-5.577952049900851,9.031505728632396
Low-access first nearby exposure,STEM births per 100k,-40,-2.7783570925737284,2.9492064911384746,-8.558801815205138,3.0020876300576815
Low-access first nearby exposure,STEM births per 100k,-30,-3.2429609236415318,3.4856956268490364,-10.074924352265644,3.5890025049825796
Low-access first nearby exposure,STEM births per 100k,-20,-3.36852648248543,3.6973854480061346,-10.615401960577454,3.878348995606594
Low-access first nearby exposure,STEM births per 100k,0,-0.2603421861145141,0.3489254776802031,-0.9442361223677121,0.42355175013868396
Low-access first nearby exposure,STEM births per 100k,10,-0.24637450694959942,0.4651974086580817,-1.1581614279194394,0.6654124140202407
Low-access first nearby exposure,STEM births per 100k,20,-0.08727195756260028,0.3417903454141307,-0.7571810345742965,0.5826371194490959
Low-access first nearby exposure,STEM births per 100k,30,-0.05944162251294466,0.3666741644522741,-0.7781229848394018,0.6592397398135126
Low-access first nearby exposure,STEM births per 100k,40,-0.38172339219260526,0.3288374054729857,-1.0262447069196572,0.2627979225344466
Low-access first nearby exposure,Any STEM birth (pct points),-40,-11.460101484614821,8.07292555720698,-27.283035576740502,4.36283260751086
Low-access first nearby exposure,Any STEM birth (pct points),-30,-14.835133496799681,5.14581228126532,-24.92092556807971,-4.749341425519654
Low-access first nearby exposure,Any STEM birth (pct points),-20,-7.345678648057363,4.6838575473555375,-16.526039440874214,1.8346821447594897
Low-access first nearby exposure,Any STEM birth (pct points),0,-3.624831947346178,4.379371149310832,-12.208399399995407,4.958735505303053
Low-access first nearby exposure,Any STEM birth (pct points),10,-2.345205530127393,5.075391790993428,-12.292973440474512,7.602562380219727
Low-access first nearby exposure,Any STEM birth (pct points),20,3.6589208035329546,5.054247572978245,-6.247404439504406,13.565246046570314
Low-access first nearby exposure,Any STEM birth (pct points),30,5.553496784101895,4.906509921253263,-4.0632626615545,15.17025622975829
Low-access first nearby exposure,Any STEM birth (pct points),40,6.775523921715835,4.137470875597568,-1.3339189944553977,14.884966837887067
