outcome,sample,timing,control_spec,control_group,estimate,se,p_value,ci_low,ci_high
inventors_per_100k_pop,europe_city_only,standard_decade,population_level,notyettreated,-2.9391638486538154,1.2170162240987008,0.01573273687189536,-5.324515647887269,-0.5538120494203618
stem_per_100k_pop,europe_city_only,standard_decade,population_level,notyettreated,-1.0268419445021424,0.34875041859748307,0.0032363783130850976,-1.7103927649532094,-0.34329112405107554
n_inventors,europe_city_only,standard_decade,population_level,notyettreated,11.096831938161674,3.1796446596022494,4.8309326956452736e-4,4.864728405341266,17.32893547098208
log1p_n_inventors,europe_city_only,standard_decade,population_level,notyettreated,0.25268829008885085,0.07716453848760023,0.0010578599815189715,0.1014457946531544,0.4039307855245473
n_stem,europe_city_only,standard_decade,population_level,notyettreated,3.354593880141972,0.8669470013509852,1.0908847291446477e-4,1.6553777574940411,5.053810002789903
log1p_n_stem,europe_city_only,standard_decade,population_level,notyettreated,0.18954786389887132,0.07740930089325025,0.014339487339877444,0.037825634148100834,0.3412700936496418
inventors_per_100k_pop,europe_city_only,alternative_decade,population_level,notyettreated,-2.8684237650271935,1.2401673981632755,0.02072633800894974,-5.299151865427214,-0.43769566462717346
stem_per_100k_pop,europe_city_only,alternative_decade,population_level,notyettreated,-1.0280207926283549,0.4136990610371029,0.012957023806972279,-1.8388709522610767,-0.21717063299563322
n_inventors,europe_city_only,alternative_decade,population_level,notyettreated,11.1067801998398,2.5730219138674064,1.5843033434714826e-5,6.063657248659684,16.149903151019917
log1p_n_inventors,europe_city_only,alternative_decade,population_level,notyettreated,0.2616151061142123,0.07966336783478077,0.001023421592963647,0.10547490515804198,0.4177553070703826
n_stem,europe_city_only,alternative_decade,population_level,notyettreated,3.3675209168052325,0.9461830033363602,3.7218624714596693e-4,1.5130022302659665,5.2220396033444985
log1p_n_stem,europe_city_only,alternative_decade,population_level,notyettreated,0.17475610998787375,0.07830978872555988,0.025641423924465556,0.02126892408577638,0.32824329588997114
inventors_per_100k_pop,combined_us_europe,standard_decade,population_log,notyettreated,-5.264356735508354,3.899425344590904,0.17700508200663712,-12.907230410906525,2.378516939889818
stem_per_100k_pop,combined_us_europe,standard_decade,population_log,notyettreated,-1.8927732267464237,1.4631692934229583,0.19579950591434225,-4.760585041855422,0.9750385883625745
n_inventors,combined_us_europe,standard_decade,population_log,notyettreated,14.94172610136412,5.7210653163625,0.009009236112148544,3.7284380812936195,26.15501412143462
log1p_n_inventors,combined_us_europe,standard_decade,population_log,notyettreated,0.34682576496113254,0.07564396420483356,4.5403845589930825e-6,0.19856359511965876,0.4950879348026063
n_stem,combined_us_europe,standard_decade,population_log,notyettreated,5.574546855700197,2.548567690800964,0.028718777428977882,0.5793541817303076,10.569739529670086
log1p_n_stem,combined_us_europe,standard_decade,population_log,notyettreated,0.29210826530384315,0.08385852379558431,4.951876625305385e-4,0.1277455586644979,0.4564709719431884
inventors_per_100k_pop,combined_us_europe,alternative_decade,population_log,notyettreated,-3.7362575388770476,1.9463223924720663,0.054902139562573726,-7.5510494281222975,0.07853435036820233
stem_per_100k_pop,combined_us_europe,alternative_decade,population_log,notyettreated,-1.1848650243492522,0.5243718478619982,0.02384675138657233,-2.2126338461587687,-0.15709620253973577
n_inventors,combined_us_europe,alternative_decade,population_log,notyettreated,15.340054804168467,5.551710949382771,0.005725135830709771,4.458701343378236,26.221408264958697
log1p_n_inventors,combined_us_europe,alternative_decade,population_log,notyettreated,0.3700020855374703,0.08440567104955565,1.1672522425953957e-5,0.20456697028034124,0.5354372007945994
n_stem,combined_us_europe,alternative_decade,population_log,notyettreated,5.7750726130299554,2.776233447343201,0.03750878420562853,0.33365505623728176,11.21649016982263
log1p_n_stem,combined_us_europe,alternative_decade,population_log,notyettreated,0.31179231366747023,0.0901079494932317,5.3975681362739e-4,0.1351807326607361,0.48840389467420436
inventors_per_100k_pop,europe_city_only,standard_decade,population_log,notyettreated,-3.0332346796733547,1.162523411177825,0.009075906664500977,-5.311780565581891,-0.7546887937648177
stem_per_100k_pop,europe_city_only,standard_decade,population_log,notyettreated,-1.0652513823350267,0.3331295691693008,0.0013852404636995885,-1.7181853379068563,-0.41231742676319716
n_inventors,europe_city_only,standard_decade,population_log,notyettreated,10.713516242292068,2.751235226925208,9.857416130865104e-5,5.321095197518661,16.105937287065473
log1p_n_inventors,europe_city_only,standard_decade,population_log,notyettreated,0.2729894726601822,0.08062305518311542,7.091999969037754e-4,0.11496828450127597,0.43101066081908845
